Lifeline,Component,Indicator,Weight
Safety & Security,Community Safety,Ability to support active Curfew,1
Safety & Security,Community Safety,Ability to support active Evacuation Orders,1
Safety & Security,Community Safety,Ability to support active Shelter in Place orders,1
Safety & Security,Community Safety,Correctional Facility function,1
Safety & Security,Community Safety,First Responder Equipment Status,1
Safety & Security,Community Safety,Status of other Mutual Aid resources,1
Safety & Security,Fire Service,Insufficient fire suppression resources available,1
Safety & Security,Fire Service,Multi-Agency / Multi-Jurisdiction Fire Response Needed,1
Safety & Security,Fire Service,Unsafe conditions for Fire response,1
Safety & Security,Government Service,Government Essential Functions are not operational,1
Safety & Security,Government Service,Inability to establish Unified Command/Incident Command and/or EOCs,1
Safety & Security,Government Service,Threat to Continuity of Government,1
Safety & Security,Law Enforcement Security,Multi-agency / Multi-Jurisdiction law Enforcement Response,1
Safety & Security,Law Enforcement Security,Unsafe conditions for Law Enforcement response,1
Safety & Security,Search Rescue,Insufficient Search and Rescue assets on-scene,1
Safety & Security,Search Rescue,Multi-Agency / Multi-Jurisdiction Search and Rescue Response Needed,1
Safety & Security,Search Rescue,Unsafe conditions for Search and Rescue response,1
"Food, Hydration, Shelter",Agriculture,Agricultural Contamination or Disease,1
"Food, Hydration, Shelter",Agriculture,Capacity for Livestock Evacuation,1
"Food, Hydration, Shelter",Agriculture,Capacity for livestock Mass Burial/De-Population,1
"Food, Hydration, Shelter",Agriculture,Food for Livestock beyond normal conditions,1
"Food, Hydration, Shelter",Agriculture,Shelter for Livestock beyond normal conditions,1
"Food, Hydration, Shelter",Agriculture,Water Source for Livestock beyond normal conditions,1
"Food, Hydration, Shelter",Food,Food Distribution,1
"Food, Hydration, Shelter",Food,Food Distribution Programs,1
"Food, Hydration, Shelter",Food,Food Supply,1
"Food, Hydration, Shelter",Food,Food Transport,1
"Food, Hydration, Shelter",Food,Institutional Feeding,1
"Food, Hydration, Shelter",Hydration,Boil Water Orders,1
"Food, Hydration, Shelter",Hydration,Bottle Water Orders,1
"Food, Hydration, Shelter",Hydration,Commerical Water Supply Chain,1
"Food, Hydration, Shelter",Hydration,Temporary Hydration Missions,1
"Food, Hydration, Shelter",Shelter,Access to Reunification Sites,1
"Food, Hydration, Shelter",Shelter,Commercial Facilities [hotels],1
"Food, Hydration, Shelter",Shelter,Shelter capacity does not support the displaced population,1
Health & Medical,Fatality Management,Fatality Management Services,1
Health & Medical,Medical Care,Ancillary Services [pharmacies],1
Health & Medical,Medical Care,EMS Strike Team Capacity,1
Health & Medical,Medical Care,Hospital Service,1
Health & Medical,Medical Care,Life or Care Services [dialysis/Long term care facilities],1
Health & Medical,Medical Care,Testing and Lab Capacity,1
